stationid,lat,lon
43623,-33.3800010681152,149.119995117188
43956,-37.6800003051758,148.449996948242
44289,-33.1300010681152,148.169998168945
44622,-36.4000015258789,148.399993896484
44955,-31.9300003051758,115.949996948242
45288,-32.5299987792969,137.770004272461
45621,-20.3700008392334,118.620002746582
45954,-34.7200012207031,135.869995117188
46287,-31.4300003051758,152.919998168945
46953,-38.3199996948242,141.470001220703
47286,-42.0800018310547,145.529998779297
47619,-34.1699981689453,140.75
47952,-33.5999984741211,150.779998779297
49284,-33.9500007629395,151.179992675781
50949,-19.25,146.75
51948,-35.1500015258789,147.449996948242
52281,-30.0200004577637,148.119995117188
52947,-38.2799987792969,142.429992675781
53280,-28.2299995422363,152.020004272461
53613,-33.0200004577637,137.520004272461
53946,-34.4000015258789,150.880004882813
54279,-38.5999984741211,145.600006103516
54612,-31.1299991607666,136.820007324219
55278,-36.0200004577637,145.979995727539
55611,-25.1800003051758,130.970001220703
55944,40.1300010681152,44.4700012207031
56277,38.7700004577637,-27.1000003814697
56943,26.5499992370605,-78.6999969482422
57276,25.0499992370605,-77.4700012207031
57609,-21.2199993133545,27.5
57942,-24.6700000762939,25.9200000762939
58941,4.94000005722046,114.930000305176
59274,32.3699989318848,-64.6800003051758
59607,43.8699989318848,18.4300003051758
60273,17.5300006866455,-88.3000030517578
60606,-3.3199999332428,29.3299999237061
60939,6.48999977111816,2.61999988555908
61272,21.9799995422363,96.0999984741211
61605,16.9099998474121,96.129997253418
61938,26.2700004577637,50.6500015258789
62271,-16.5200004577637,-68.1800003051758
62604,-19.0200004577637,-65.2699966430664
62937,13.0699996948242,-59.4799995422363
63270,-7.30000019073486,72.4000015258789
63603,27.5100002288818,89.6699981689453
63936,42.4799995422363,27.4799995422363
64269,42.6599998474121,23.3799991607666
64602,22.2700004577637,91.8199996948242
64935,23.7700004577637,90.3899993896484
65268,51.2000007629395,4.46999979019165
65601,50.9000015258789,4.53000020980835
65934,51.2000007629395,2.86999988555908
66267,54.2799987792969,30.9799995422363
66600,53.8699989318848,27.5400009155273
66933,-1.45000004768372,-48.4700012207031
67599,-15.7799997329712,-47.9300003051758
67932,-23,-47.1300010681152
